value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer,candidate_id,ticker,report_year,scope,row_label,column_header,table_context,raw_value,raw_number,source_scale,vnd_value,retrieval_phrase,retrieval_score
639957000000.0,VRE_financial_statements_2023_consolidated,3,13,3,Hàng tồn kho,639.957,PanelCell,s30,,,,,,,,,,,,,,
,HPX_financial_statements_2023_consolidated,5,8,3,,,NumericCandidate,s31,,c0001,HPX,2023.0,consolidated,III. Các khoản phải thu ngắn hạn,31/12/2023VND | TÀI SẢN NGẮN HẠN | 6.451.205.557.598," CT3, The Pride, khu đô thị mới An Hung, phường La Khê, quận Hà Đông, Thành phố Hà Nội Mẫu số B01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC Ngày 22/12/2014 của Bộ Tài chính BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31 tháng 12 năm 2023",3.341.887.153.160,3341887153160.0,1.0,3341887153160.0,short-term receivables code 130,100.0
,HPX_financial_statements_2023_consolidated,5,21,3,,,NumericCandidate,s32,,c0002,HPX,2023.0,consolidated,I. Các khoản phải thu dài hạn,31/12/2023VND | TÀI SẢN NGẮN HẠN | 6.451.205.557.598," CT3, The Pride, khu đô thị mới An Hung, phường La Khê, quận Hà Đông, Thành phố Hà Nội Mẫu số B01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC Ngày 22/12/2014 của Bộ Tài chính BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31 tháng 12 năm 2023",647.811.000.000,647811000000.0,1.0,647811000000.0,long-term receivables code 210,100.0
,NVL_financial_statements_2023_consolidated,6,8,3,,,NumericCandidate,s33,,c0003,NVL,2023.0,consolidated,Các khoản phải thu ngắn hạn,Tại ngày 31 tháng 12 năm | 2023 VND | 191.154.819.021.853,===== PAGE 14 ===== CÔNG TY CÓ PHẦN TẬP ĐOÀN ĐẦU TƯ ĐỊA ÓC NO VA Mẫu số B 01 - DN/HN BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,47.011.035.493.822,47011035493822.0,1.0,47011035493822.0,short-term receivables code 130,100.0
,NVL_financial_statements_2023_consolidated,7,3,3,,,NumericCandidate,s34,,c0004,NVL,2023.0,consolidated,Các khoản phải thu dài hạn,Tại ngày 31 tháng 12 năm | 2023 VND | 50.331.560.521.272,===== PAGE 15 ===== CÔNG TY CÓ PHẦN TẬP ĐOÀN ĐẦU TƯ ĐỊA ÓC NO VA Mẫu số B 01 – DN/HN BẢNG CÂN ĐỒI KẾ TOÁN HỢP NHÀT (tiếp theo),34.560.075.860.276,34560075860276.0,1.0,34560075860276.0,long-term receivables code 210,100.0
,SNZ_financial_statements_2023_consolidated,5,9,3,,,NumericCandidate,s35,,c0005,SNZ,2023.0,consolidated,III. Các khoản phải thu ngắn hạn,Tại ngày 31/12/2023 | 7.557.879.902.084 | 1.150.835.471.673," TRIỂN KHU CÔNG NGHIỆP VÀ CÁC CÔNG TY CON Địa chỉ: Số 1, Đường 1, khu công nghiệp Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai, Việt Nam Mẫu số B 01 - DN/HN BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31/12/2023 Đơn vị tính: VND",1.884.115.040.104,1884115040104.0,1.0,1884115040104.0,short-term receivables code 130,100.0
,SNZ_financial_statements_2023_consolidated,6,2,3,,,NumericCandidate,s36,,c0006,SNZ,2023.0,consolidated,I. Các khoản phải thu dài hạn,Tại ngày 31/12/2023 | 15.639.552.691.256," TRIỂN KHU CÔNG NGHIỆP VÀ CÁC CÔNG TY CON Địa chỉ: Số 1, Đường 1, khu công nghiệp Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai, Việt Nam Mẫu số B 01 - DN/HN BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31/12/2023 Đơn vị tính: VND",120.883.273.364,120883273364.0,1.0,120883273364.0,long-term receivables code 210,100.0
,VIC_financial_statements_2023_consolidated,6,8,3,,,NumericCandidate,s37,,c0007,VIC,2023.0,consolidated,III. Các khoản phải thu ngắn hạn,Số cuối năm | 343.536.472 | 27.982.623,===== PAGE 9 ===== Tập đoàn Vingroup – Công ty CP B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT ngày 31 tháng 12 năm 2023 Đơn vị tính: triệu VND,168.114.731,168114731.0,1000000.0,168114731000000.0,short-term receivables code 130,100.0
,VIC_financial_statements_2023_consolidated,7,2,3,,,NumericCandidate,s38,,c0008,VIC,2023.0,consolidated,I. Các khoản phải thu dài hạn,Số cuối năm | 324.119.295,===== PAGE 10 ===== Tập đoàn Vingroup – Công ty CP B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) ngày 31 tháng 12 năm 2023 Đơn vị tính: triệu VND,8.237.482,8237482.0,1000000.0,8237482000000.0,long-term receivables code 210,100.0
,VPI_financial_statements_2023_consolidated,5,7,3,,,NumericCandidate,s39,,c0009,VPI,2023.0,consolidated,III. Các khoản phải thu ngắn hạn,Số cuối năm | 5.950.396.721.742 | 191.400.083.310,===== PAGE 9 ===== Công ty Cổ phần Đầu tư Văn Phú - Invest B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT vào ngày 31 tháng 12 năm 2023 Đơn vị tính: VND,2.002.118.484.725,2002118484725.0,1.0,2002118484725.0,short-term receivables code 130,100.0
,VPI_financial_statements_2023_consolidated,6,2,3,,,NumericCandidate,s40,,c0010,VPI,2023.0,consolidated,I. Các khoản phải thu dài hạn,Số cuối năm | 6.580.461.333.437,===== PAGE 10 ===== Công ty Cổ phần Đầu tư Văn Phú - Invest B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2023 Đơn vị tính: VND,705.235.411.974,705235411974.0,1.0,705235411974.0,long-term receivables code 210,100.0
