candidate_id,ticker,report_year,scope,doc_id,table_id,row_idx,col_idx,row_label,column_header,table_context,raw_value,raw_number,source_scale,vnd_value,retrieval_phrase,retrieval_score,source_type,source_id,computed_answer,value,label,raw
c0011,OGC,2022.0,consolidated,OGC_financial_statements_2022_consolidated,5,28,3,II/ Tài sản cố định,31/12/2022 VND | 1.309.105.460.491 | 734.575.768.905,"===== PAGE 9 ===== CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẠI DƯƠNG Địa chỉ: Số 04 Láng Hạ, phường Thành Công, quận Ba Đình, Thành phố Hà Nội BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31 tháng 12 năm 2022",671.382.131.034,671382131034.0,1.0,671382131034.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s11,,,,
c0012,OGC,2023.0,consolidated,OGC_financial_statements_2023_consolidated,5,6,4,II. | Tài sản cố định,Số cuối năm | 4.153.344.786.159 | 648.752.261.270,"===== PAGE 11 ===== CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẠI DƯƠNG Số 04 Láng Hạ, phường Thành Công, quận Ba Đình, thành phố Hà Nội Băng cân đối kế toán hợp nhất (tiếp theo) Đơn vị tính: VND",512.672.371.098,512672371098.0,1.0,512672371098.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s12,,,,
c0013,QNS,2022.0,consolidated,QNS_financial_statements_2022_consolidated,6,24,3,II. Tài sản cố định,31/12/2022 VND | 6.090.308.585.881 | 202.619.119.038,"ãi, Tỉnh Quảng Ngãi BÁO CÁO TÀI CHÍNH HỢP NHẤT Cho năm tài chính kết thúc ngày 31/12/2022 BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Ngày 31 tháng 12 năm 2022 Mẫu số B 01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính",3.913.527.682.127,3913527682127.0,1.0,3913527682127.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s13,,,,
c0014,QNS,2023.0,consolidated,QNS_financial_statements_2023_consolidated,6,24,4,II. | Tài sản cố định,31/12/2023 VND | 8.093.319.101.947 | 289.482.272.858,"ãi, Tỉnh Quảng Ngãi BÁO CÁO TÀI CHÍNH HỢP NHẤT Cho năm tài chính kết thúc ngày 31/12/2023 BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Ngày 31 tháng 12 năm 2023 Mẫu số B 01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính",3.666.269.497.383,3666269497383.0,1.0,3666269497383.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s14,,,,
c0015,SAB,2022.0,consolidated,SAB_financial_statements_2022_consolidated,3,7,3,Tài sản cố định,31/12/2022 VND | 7.604.851.042.093 | 37.720.028.871,y Cổ phần Bia - Rượu - Nước Giải Khát Sài Gòn và các công ty con Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 (tiếp theo) Mẫu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),4.454.982.147.731,4454982147731.0,1.0,4454982147731.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s15,,,,
c0016,SAB,2023.0,consolidated,SAB_financial_statements_2023_consolidated,3,6,3,Tài sản cố định,31/12/2023 VND | 7.503.219.247.991 | 34.701.581.051,y Cổ phần Bia - Rượu - Nước Giải Khát Sài Gòn và các công ty con Băng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023 (tiếp theo) Mẫu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),3.969.724.119.615,3969724119615.0,1.0,3969724119615.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s16,,,,
c0017,VNM,2022.0,consolidated,VNM_financial_statements_2022_consolidated,7,4,3,Tài sản cố định,31/12/2022 VND | 16.922.282.062.019 | 38.422.722.715,E 8 ===== Công ty Cổ phần Sửa Việt Nam và các công ty con Báo cáo tình hình tài chính hợp nhất tại ngày 31 tháng 12 năm 2022 (tiếp theo) Mẫu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),11.903.207.642.940,11903207642940.0,1.0,11903207642940.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s17,,,,
c0018,VNM,2023.0,consolidated,VNM_financial_statements_2023_consolidated,7,4,3,Tài sản cố định,31/12/2023 VND | 16.737.491.482.983 | 16.131.990.975,E 8 ===== Công ty Cổ phần Sữa Việt Nam và các công ty con Báo cáo tình hình tài chính hợp nhất tại ngày 31 tháng 12 năm 2023 (tiếp theo) Mâu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014 TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),12.689.652.377.511,12689652377511.0,1.0,12689652377511.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s18,,,,
c0019,VSF,2022.0,consolidated,VSF_financial_statements_2022_consolidated,7,25,4,II. | Tài sản cố định,31/12/2022VND | 4.851.826.552.006 | 1.477.532.901.491," - CÔNG TÝ CỔ PHẦN Số 333 đường Trần Hưng Đạo, phường Cầu Kho Quận 1, Tp. Hồ Chí Minh Mẫu số B 01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC Ngày 22/12/2014 của Bộ Tài chính BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31 tháng 12 năm 2022",2.658.897.219.175,2658897219175.0,1.0,2658897219175.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s19,,,,
c0020,VSF,2023.0,consolidated,VSF_financial_statements_2023_consolidated,5,25,4,II. | Tài sản cố định,31/12/2023VND | 2.618.341.892.854 | 503.381.614.735,"M - CÔNG TY CỔ PHẦN Số 333 đường Trần Hưng Đạo, phường Cầu Kho Quận 1, Tp.Hồ Chí Minh Mẫu số B 01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC Ngày 22/12/2014 của Bộ Tài chính BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31 tháng 12 năm 2023",2.583.789.290.283,2583789290283.0,1.0,2583789290283.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s20,,,,
,,,,ASM_financial_statements_2023_consolidated,14,3,3,,,,,,,,,,PanelCell,s21,,11973153752107.0,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,11.973.153.752.107
,,,,DBC_financial_statements_2023_consolidated,5,3,3,,,,,,,,,,PanelCell,s22,,11110000756812.0,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,11.110.000.756.812
,,,,MML_financial_statements_2023_consolidated,4,3,3,,,,,,,,,,PanelCell,s23,,6984442565181.0,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),6.984.442.565.181
,,,,MPC_financial_statements_2023_consolidated,11,3,3,,,,,,,,,,PanelCell,s24,,10767391211744.0,Doanh thu thuần về bán hàng(10 = 01 - 02),10.767.391.211.744
,,,,MSN_financial_statements_2023_consolidated,6,3,3,,,,,,,,,,PanelCell,s25,,78251619000000.0,Doanh thu thuần,78.251.619
,,,,OGC_financial_statements_2023_consolidated,7,3,4,,,,,,,,,,PanelCell,s26,,984684855485.0,Doanh thu thuần về bán hàng và cung cấp dịch vụ,984.684.855.485
,,,,QNS_financial_statements_2023_consolidated,8,3,4,,,,,,,,,,PanelCell,s27,,10021235264199.0,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10.021.235.264.199
,,,,SAB_financial_statements_2023_consolidated,6,3,3,,,,,,,,,,PanelCell,s28,,30461367282215.0,Doanh thu thuần (10 = 01 - 02),30.461.367.282.215
,,,,VNM_financial_statements_2023_consolidated,9,3,3,,,,,,,,,,PanelCell,s29,,60368915511505.0,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),60.368.915.511.505
,,,,VSF_financial_statements_2023_consolidated,7,3,4,,,,,,,,,,PanelCell,s30,,23030651999399.0,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),23.030.651.999.399
